raw,rawZeroed,scaledZeroed,scaledZeroedAverage
482588,355790.09090909094,3230.7721081309605,3230.7721081309605
464977,338179.09090909094,3070.854423377811,3150.8132657543856
426335,299537.09090909094,2719.96354981974,3007.19669377617
432197,305399.09090909094,2773.193773431287,2948.6959636899496
449573,322775.09090909094,2930.9775273504697,2945.1522764220535
455336,328538.09090909094,2983.3087758447286,2951.511692992499
460014,333216.09090909094,3025.7876202757793,2962.1225397472526
466645,339847.09090909094,3086.000792020606,2977.6073212814217
472247,345449.09090909094,3136.870070879679,2995.3031823478946
472923,346125.09090909094,3143.008527236111,3010.0737168367164
471877,345079.09090909094,3133.5102648857737,3021.295221204812
472025,345227.09090909094,3134.8541872833357,3030.758468378022
476812,350014.09090909094,3178.3228123990775,3042.109571764257
480372,353574.09090909094,3210.64959439449,3054.148144809274
480863,354065.09090909094,3215.1081477539697,3064.8788116722535
481595,354797.09090909094,3221.755115287858,3074.6835806482286
485067,358269.09090909094,3253.2828082901256,3085.18941756834
490742,363944.09090909094,3304.8149677912397,3097.3908370251684
492252,365454.09090909094,3318.5266084690693,3109.029561838005
489124,362326.09090909094,3290.1226269854596,3118.084215095378
486900,360102.09090909094,3269.927468795067,3125.314846223934
487945,361147.09090909094,3279.416650588664,3132.319473695058
490735,363937.09090909094,3304.7514038940576,3139.8165141384934
485942,359144.09090909094,3261.2282954378743,3144.8753383593007
480828,354030.09090909094,3214.79032826806,3147.671937955651
480236,353438.09090909094,3209.4146386778116,3150.046657214196
481582,354784.09090909094,3221.637068050234,3152.6981539118274
484236,357438.09090909094,3245.7368656389494,3156.0209650449387
483054,356256.09090909094,3235.003647571933,3158.744505821732
478661,351863.09090909094,3195.1127618118635,3159.956781021403
478613,351815.09090909094,3194.6768950883297,3161.076784700981
482736,355938.09090909094,3232.1160305285225,3163.296761133092
484138,357340.09090909094,3244.8469710784016,3165.767979616283
480277,353479.09090909094,3209.786941504163,3167.0626549659264
473981,347183.09090909094,3152.6157562673325,3166.649886431682
471898,345100.09090909094,3133.7009565773196,3165.7346383801714
475957,349159.09090909094,3170.5589363861345,3165.8650248127656
477510,350712.09090909094,3184.661041003796,3166.3596568177923
472767,345969.09090909094,3141.591960384627,3165.724587678481
468899,342101.09090909094,3106.468366913207,3164.2431821593486
470361,343563.09090909094,3119.7441408675027,3163.157839688816
473960,347162.09090909094,3152.425064575786,3162.90229742422
472573,345775.09090909094,3139.830332377012,3162.36574009754
467833,341035.09090909094,3096.7884934280637,3160.8753481277795
465129,338331.09090909094,3072.2346680023343,3158.9055552361024
469049,342251.09090909094,3107.830450424249,3157.795226870627
473970,347172.09090909094,3152.515870143189,3157.682900131746
473650,346852.09090909094,3149.610091986298,3157.5147166287156
468607,341809.09090909094,3103.8168443450436,3156.4188416841503
467102,340304.09090909094,3090.150606450916,3155.0934769794862
472730,345932.09090909094,3141.2559797852364,3153.3031544125715
477532,350734.09090909094,3184.860813252082,3155.5832822100565
477518,350720.09090909094,3184.7336854577184,3164.8786849228163
475821,349023.09090909094,3169.3239806694555,3172.8012890675795
476971,350173.09090909094,3179.7666209207828,3177.7770709389856
480709,353911.09090909094,3213.709742015966,3182.385090262411
482206,355408.09090909094,3227.3033354561717,3186.4154045660184
480601,353803.09090909094,3212.729041888015,3188.9499695633667
476997,350199.09090909094,3180.00271539603,3189.8126224536936
478654,351856.09090909094,3195.0491979146814,3190.853435867265
481182,354384.09090909094,3218.0048453541203,3192.543327476632
478078,351280.09090909094,3189.8187972322776,3193.642619675611
474745,347947.09090909094,3159.5533016169097,3193.267229459967
474724,347926.09090909094,3159.362609925364,3192.241489770585
475281,348483.09090909094,3164.420480029702,3191.2277364160996
476857,350059.09090909094,3178.7314374523903,3190.36726285939
477115,350317.09090909094,3181.0742210913836,3188.923091115415
474411,347613.09090909094,3156.5203956656546,3185.9571996729032
473540,346742.09090909094,3148.611230744867,3182.558892118419
475539,348741.09090909094,3166.7632636686953,3180.091704852084
479618,352820.09090909094,3203.8028546123155,3178.7692125684293
478423,351625.09090909094,3192.951589307676,3177.039911342809
476393,349595.09090909094,3174.518059124898,3174.4352444474257
479272,352474.09090909094,3200.6609819801774,3173.2238981782716
484474,357676.09090909094,3247.898038143137,3173.8860523757726
488331,361533.09090909094,3282.921745490414,3175.356194512025
486188,359390.09090909094,3263.4621123959846,3176.19269539894
482930,356132.09090909094,3233.877658536138,3175.9555112568837
484150,357352.09090909094,3244.9559377592846,3176.1545570606313
489205,362407.09090909094,3290.8581520814228,3178.0694648660224
491353,364555.09090909094,3310.3631879595537,3180.383190723446
488802,362004.09090909094,3287.198687715088,3181.484843867178
485716,358918.09090909094,3259.17608961457,3181.771426237901
