raw,rawFiltered,average,std,stdstd
166997,166997,166997.0,0.0,0.0,2
149856,149856,158426.5,8570.5,4285.25,1
110072,110072,142308.33333333334,23844.48727810174,9861.8666881702,1
108483,108483,133852.0,25316.958752978215,10603.26655059272,1
149172,149172,136916.0,23458.710629529498,10147.787964964216,1
171550,171550,142688.33333333334,25003.834657019226,9822.75672914228,1
180535,180535,148095.0,26669.662679317327,9620.623053037933,1
184068,184068,152591.625,27638.73185828856,9443.83169350338,1
185339,185339,156230.22222222222,28016.725265763733,9247.956461728203,1
186514,186514,159258.6,28088.838581187367,9031.236912200413,1
187305,187305,161808.27272727274,27969.008725863667,5549.834068477722,1
190202,190202,164174.4166666667,27904.509854915126,1734.9867392812987,1
189741,189741,166141.07692307694,27661.844650269097,1541.8743857494878,1
191658,191658,167963.7142857143,27453.74643814202,1471.7690551951964,2
192857,192857,169623.26666666666,27240.01795267804,885.9866068619231,1
192625,192625,171060.875,26956.31990339881,454.05098039286975,1
194684,194684,172450.4705882353,26735.65186196942,441.36658454324146,2
194090,194090,173652.6666666667,26450.97209303784,551.9280948065295,3
195506,195506,174802.84210526317,26203.860356952144,627.7878588849862,1
197342,197342,175929.80000000002,26008.476129139126,664.4300534600184,2
197344,197344,176949.52380952382,25788.09987944614,687.2895104627835,3
199114,199114,177957.0,25614.69910564493,675.9533194063171,4
198849,198849,178865.34782608695,25411.38078415413,663.2602831400131,5
199902,199902,179741.875,25229.019191387026,640.6370082683028,6
202164,202164,180638.76,25106.75084240093,600.6991679626565,7
202406,202406,181475.96153846156,24972.533078257686,562.1112720651183,8
204339,204339,182322.74074074076,24883.187243141278,510.32613759067516,9
203789,203789,183089.39285714287,24757.404615790176,468.1028396688651,1
205849,205849,183874.20689655174,24678.73019057631,427.21644760329366,2
206769,206769,184637.36666666667,24609.517912768806,380.8478493520821,3
207477,207477,185374.12903225806,24543.360330360858,338.3276786503742,1
209155,209155,186117.28125,24508.627079605016,290.36570797514946,2
209097,209097,186813.63636363635,24453.787629803403,251.32876473626058,3
212150,212150,187558.82352941175,24468.855390993027,214.5672380189179,1
211442,211442,188241.19999999998,24442.793189462962,177.40519562115585,2
213208,213208,188934.72222222222,24447.665722031063,143.20177726553788,3
214259,214259,189619.16216216216,24462.19754941645,104.30150085815406,4
213382,213382,190244.5,24436.04956201735,77.629151598631,1
216040,216040,190905.92307692306,24462.9105826263,52.213769347234575,2
215219,215219,191513.75,24451.62230788583,31.511115857658897,3
218372,218372,192168.82926829267,24504.377234563166,23.2487589791402,4
220313,220313,192838.92857142855,24588.169632484853,42.680892323408656,5
219803,219803,193465.99999999997,24638.045998103244,64.8991181963363,6
222511,222511,194126.11363636362,24738.115319386572,97.8970236161695,7
220792,220792,194718.68888888886,24775.49834980091,120.81149952228716,8
222092,222092,195313.7608695652,24827.73186613569,140.64786120758635,9
222292,222292,195887.76595744677,24868.799619597492,156.18071315946574,10
224156,224156,196476.68749999997,24937.39387041431,166.29312841503568,11
226360,226360,197086.55102040814,25040.669389452967,180.8191672700621,12
223211,223211,197609.03999999998,25057.357461599982,176.4656806625568,13
226308,226308,198795.25999999998,24983.88903498413,153.98603785387363,14
228089,228089,200359.91999999998,24310.65591615332,211.96511627216125,1
228426,228426,202726.99999999997,20931.336563153352,1189.4421140939744,1
229701,229701,205151.35999999996,16405.9937739352,2679.192890562921,1
228083,228083,206729.57999999996,14646.135349763794,3749.5666174434173,1
230145,230145,207901.47999999995,14119.118668302235,4428.419075363363,1
229004,229004,208870.85999999996,13868.585250140002,4812.080067960389,1
229582,229582,209781.13999999996,13703.446146148817,4938.354641312123,1
229625,229625,210666.85999999996,13525.056295646276,4807.930553418906,1
228534,228534,211507.25999999995,13301.817791279545,4396.103178034721,1
230625,230625,212373.65999999995,13106.581532360036,3606.6868439653504,1
227942,227942,213128.45999999993,12892.965930630595,2299.5549367772087,1
226900,226900,213871.63999999993,12590.865520304842,1034.8796767333895,1
228105,228105,214600.57999999993,12336.18238044499,673.474299917254,1
228073,228073,215304.89999999994,12077.24246879235,641.8112919596115,2
231042,231042,216073.23999999993,11829.412848590653,664.0566997195273,3
230833,230833,216796.21999999994,11602.55690835437,688.9586517882337,4
231531,231531,217545.03999999995,11317.659727982717,711.7050413384977,5
231103,231103,218256.97999999995,11024.724171588234,731.8412240854337,6
228567,228567,218881.47999999995,10701.950536682643,758.4020865951862,7
230649,230649,219547.57999999996,10372.091675433747,783.9162790535698,8
230010,230010,220165.49999999997,10051.720320920298,805.4256589691917,1
230368,230368,220795.87999999998,9676.448684595092,844.6579778054734,2
227477,227477,221347.37999999998,9246.14350719272,899.0043136887588,3
227602,227602,221856.13999999998,8868.748337866069,953.2485162783537,1
229781,229781,222403.63999999998,8487.92377618945,1002.2567447500744,2
227322,227322,222863.3,8111.1493421094265,1037.7099189636126,3
229991,229991,223387.34,7697.767823492873,1071.0624001087272,4
229002,229002,223850.4,7315.7245464822,1094.422148664347,1
228384,228384,224282.69999999998,6921.5986888869975,1112.2983171501783,2
229837,229837,224729.9,6532.757035892443,1122.7905636099847,3
227455,227455,225095.9,6151.417047315376,1120.8485672099296,4
230152,230152,225517.0,5749.312428456314,1117.947417170106,5
229471,229471,225863.42,5447.3603812858055,1108.2424574697998,6
229644,229644,226227.46000000002,5066.3121309688595,1098.1517386027783,7
231402,231402,226591.34000000003,4762.404903449748,1076.4600496750056,8
229049,229049,226887.14,4435.321012102979,1048.2794558316687,9
231413,231413,227247.76,4037.8110087524137,1033.231899503676,10
