raw,rawZeroed,scaledZeroed,scaledZeroedAverage
352072,225274.0909090909,2045.6141646159958,2045.6141646159958
344771,217973.0909090909,1979.317019855179,2012.4655922355876
331201,204403.0909090909,1856.0938648895192,1960.3416831202312
337245,210447.0909090909,1910.9767498277984,1948.000449797123
347357,220559.0909090909,2002.7993395855547,1958.9602277548095
353892,227094.0909090909,2062.1407778833136,1976.1569861095602
355398,228600.0909090909,2075.816096334182,1990.394001855935
353051,226253.0909090909,2054.5040296647344,1998.4077553320346
350142,223344.0909090909,2028.088690107247,2001.705636973725
349703,222905.0909090909,2024.102325698262,2003.9453058461786
354373,227575.0909090909,2066.5085256753905,2009.632871285198
357865,231067.0909090909,2098.2178298124636,2017.01495116247
358645,231847.0909090909,2105.3006640698854,2023.8061598476559
358812,232014.0909090909,2106.817117045513,2029.7355139332171
357101,230303.0909090909,2091.2802844628864,2033.838498635195
353611,226813.0909090909,2059.5891414392936,2035.4479138104512
352080,225282.0909090909,2045.6868090699181,2036.0502017668903
354700,227902.0909090909,2069.4778677294635,2037.9072943203664
358056,231258.0909090909,2099.952216149858,2041.1728165219185
359712,232914.0909090909,2114.989618111769,2044.863656601411
361353,234555.0909090909,2129.8908117225756,2048.9125687500377
358900,232102.0909090909,2107.616206038658,2051.5809158995207
355943,229145.0909090909,2080.764999757637,2052.849789110743
353521,226723.0909090909,2058.771891332668,2053.09654336999
354696,227898.0909090909,2069.4415455025023,2053.75034345529
357544,230746.0909090909,2095.302971098832,2055.34852144158
360578,233780.0909090909,2122.8533802488555,2057.848701397405
361748,234950.0909090909,2133.477631634988,2060.5497346201755
360549,233751.0909090909,2122.590044103387,2062.6890556368385
357673,230875.0909090909,2096.474362918329,2063.815232546221
356088,229290.0909090909,2082.0816804849783,2064.40447280231
355643,228845.0909090909,2078.0408327355517,2064.8306090502238
357634,230836.0909090909,2096.1202212054577,2065.778779115534
359857,233059.0909090909,2116.3062988391102,2067.2648826368154
361897,235099.0909090909,2134.8306345892906,2069.1953326926005
362006,235208.0909090909,2135.8204152739813,2071.046029430972
359121,232323.0909090909,2109.623009078261,2072.08865050252
356385,229587.0909090909,2084.7786058368424,2072.4225966955287
355514,228716.0909090909,2076.869440916055,2072.5366183422093
356610,229812.0909090909,2086.821731103407,2072.893746161239
358907,232109.0909090909,2107.67976993584,2073.7421857654977
361132,234334.0909090909,2127.8840086829728,2075.0312767873424
362117,235319.0909090909,2136.8283570721533,2076.4684181893144
360656,233858.0909090909,2123.5616636745976,2077.538719223071
357564,230766.0909090909,2095.484582233638,2077.9375161788616
355291,228493.0909090909,2074.8444767629717,2077.8702761915592
356655,229857.0909090909,2087.2303561567196,2078.0694268291163
358991,232193.0909090909,2108.442536702024,2078.702199951468
362269,235471.0909090909,2138.2086016966764,2079.9166163136156
361099,234301.0909090909,2127.5843503105434,2080.869970993554
356662,229864.0909090909,2087.2939200539013,2081.703566102312
354244,227446.0909090909,2065.3371338558936,2083.4239683823266
353278,226480.0909090909,2056.5653160447787,2087.4333974054316
354377,227579.0909090909,2066.5448479023516,2090.544759366923
356683,229885.0909090909,2087.484611745447,2092.2384648101206
357621,230823.0909090909,2096.002173967834,2092.9156927318113
356680,229882.0909090909,2087.4573700752267,2093.148518206632
353201,226403.0909090909,2055.866113175777,2093.175759876853
351653,224855.0909090909,2041.8094113418167,2093.4501743015444
351657,224859.0909090909,2041.8457335687779,2093.8050424589546
352134,225336.0909090909,2046.1771591338934,2093.3984151281247
354106,227308.0909090909,2064.0840170257343,2092.71573887239
355318,228520.0909090909,2075.089651794959,2092.1115186268917
354221,227423.0909090909,2065.128281050867,2091.277741906999
351501,224703.0909090909,2040.4291667172934,2090.260719552087
349866,223068.0909090909,2025.5824564469283,2089.5805858522394
347157,220359.0909090909,2000.9832282374978,2088.686514235591
346804,220006.0909090909,1997.7777917081773,2087.2525127151653
350081,223283.0909090909,2027.5347761460896,2085.8041639150897
352284,225486.0909090909,2047.5392426449362,2084.4551564057533
