raw,average,std,stdAvg,stdstd,rawFiltered
226,226.0,0.0,0.0,0.0,226
852,539.0,313.0,156.5,156.5,852
-1886,-269.33333333333337,1171.3745012685833,494.79150042286113,495.1872829378476,-1886
-2068,-719.0,1278.9405771966108,690.8287696162986,546.9914685129803,-2068
-661,-707.4,1144.1544650963872,781.4939087123163,521.7666174545765,-661
86,-575.1666666666666,1085.5119248027122,832.1635780607156,489.59583284008096,86
-873,-617.7142857142857,1010.3782480247844,857.6228166270112,457.5474582719743,-873
-923,-655.875,950.499794516022,869.2324388631375,429.0972503978672,-923
-998,-693.8888888888889,902.5668881885271,872.9362665659586,404.6923828796162,-998
584,-566.1,938.1547260446968,879.4581125138324,384.4231295796519,584
1752,-355.3636363636364,1115.446202828697,991.002732796702,252.11767282792908,1752
1258,-220.91666666666666,1157.3120047717855,1075.4339332738805,115.02956213366103,1258
463,-168.3076923076923,1126.7453049596083,1070.971013642983,112.04779757202907,463
781,-100.49999999999999,1112.9442772599689,1054.371383649319,90.16763706681742,781
-375,-118.79999999999998,1077.3843758535452,1047.6943747250348,85.62990094379664,-375
-8,-111.87499999999999,1043.5176612664493,1043.4949483714086,84.69694527011374,-8
244,-90.94117647058822,1015.8179243168147,1044.0389160006116,84.49974449176796,244
-826,-131.77777777777777,1001.4533081452483,1049.1342673635343,80.12890170526879,-826
-725,-163.0,983.7026722381214,1057.2478457684938,68.07892797482761,-725
282,-140.75,963.6874947305273,1059.8011226370768,63.91602321416915,282
-734,-169.0,948.9106034465699,1043.147562698864,68.76009158355883,-734
-941,-204.0909090909091,940.9364730315175,1021.5100095248372,63.25444797749049,-941
-229,-205.17391304347825,920.2680447033241,1000.8622834992087,59.096052342566246,-229
-321,-210.0,901.1890756106623,979.6867633342781,52.73687754086866,-321
227,-192.52,887.1241680847163,960.6607425573952,48.18184140207941,227
741,-156.61538461538464,888.228014598256,945.1317778905759,43.800276339724135,741
1152,-108.14814814814817,905.9826547151545,934.1482509304099,38.09775056132276,1152
686,-79.7857142857143,901.7813861282273,924.1810587287077,31.68371819231616,686
-483,-93.68965517241381,889.146165535278,914.7254080584235,26.132561977784707,-483
-60,-92.56666666666668,874.2223852595454,905.7788971113253,22.960653950882886,-60
773,-64.64516129032259,873.4983630313925,898.2376730698076,19.710161052549026,773
1571,-64.64516129032259,873.4983630313925,894.7060072502474,14.112003229338132,
385,-50.593750000000014,863.2939048846213,892.1197640174785,11.275071126987475,385
-12,-49.424242424242436,850.1388132749541,890.1164792243331,11.26537840388898,-12
