raw,average,std,stdAvg,stdstd,rawFiltered
2173,2173.0,0.0,0.0,0.0,2173
2900,2536.5,363.5,181.75,181.75,2900
1817,2296.6666666666665,450.69748415341985,271.3991613844733,195.18193036381555,1817
1986,2219.0,412.84682389477086,306.7610770120477,179.7870537217963,1986
2227,2220.6,369.2752902645937,319.2639196625569,162.7390304940546,2227
2504,2267.833333333333,353.25883648615996,324.9297391331574,149.09896352139586,2504
2242,2264.142857142857,327.17903730064916,325.25106744279907,138.04106124007112,2242
1685,2191.75,361.0407698584745,329.7247802447585,129.66694454790837,1685
2017,2172.3333333333335,344.79430260825234,331.39917161848007,122.34286533851177,2017
5,1955.6000000000001,727.8425928729371,371.04351374392576,166.18081655939713,5
2442,1999.818181818182,707.917922589877,441.83530600291346,142.07636596385535,2442
1199,1933.0833333333335,713.0037936240046,476.7856853653139,160.32391462016398,1199
1883,1929.2307692307693,685.1618735010059,500.2321243000725,171.54598874459631,1883
2001,1934.357142857143,660.4971728222025,524.9971591928156,174.98453876331465,2001
1853,1928.9333333333334,638.4235236546,551.9119825318162,169.57831541825232,1853
2415,1959.3125,629.2487305062681,579.510971933827,156.99328284809727,2415
1779,1948.7058823529412,611.9334608874017,607.9864142925023,132.56704453718,1779
1917,1946.9444444444446,594.7367739150772,631.3560146981627,104.62897897199328,1917
1187,1906.9473684210527,603.2339577280383,657.1999802101412,46.33180562605456,1187
1795,1901.3500000000001,588.4657402941993,643.2622949522674,43.883696785054404,1795
1968,1904.5238095238096,574.4591343621879,629.9164161294985,42.46196926860162,1968
911,1859.3636363636365,598.1901146150282,618.4350482286009,32.88619187712615,911
2035,1867.0000000000002,586.1368737612477,608.532548254625,25.347828245108477,2035
2900,1867.0000000000002,586.1368737612477,603.4624209948504,18.62615342705652,
1817,1864.916666666667,573.8827491066639,599.395432919372,14.54043824296384,1817
1986,1869.7600000000002,562.7883637745188,595.1051524211539,10.996584205508384,1986
2227,1883.5000000000002,556.119124621003,591.7621349508581,10.439928067413904,2227
2504,1906.4814814814818,558.1630168335844,590.116919917202,11.115972702747275,2504
2242,1918.464285714286,551.6304716890813,586.8793162257081,11.531175483060847,2242
1685,1910.4137931034486,543.7075479895279,584.3637792303543,13.48843684519693,1685
2017,1913.966666666667,534.9112377041841,582.3481458017935,16.075795413616454,2017
5,1913.966666666667,534.9112377041841,586.6912763615013,23.786629090013054,
2442,1931.0000000000002,534.4193713892948,591.9771550672722,28.485212600518572,2442
1199,1908.1250000000002,541.2025238993255,595.0611443124675,31.73187483796581,1199
1883,1907.3636363636365,532.9568075160369,598.4275392889596,33.57131877673868,1883
2001,1910.1176470588236,525.299005312878,602.0825919409615,34.04335859673725,2001
1853,1908.4857142857145,517.8277910893638,605.6765404888554,33.25226062483954,1853
2415,1922.5555555555557,517.325571486255,609.0717528400193,31.991519026386413,2415
1779,1918.6756756756758,510.81752462340336,612.4487930016687,29.46179901033382,1779
