raw,average,std,stdAvg,stdstd,rawFiltered
549,549.0,0.0,0.0,0.0,549
263,406.0,143.0,71.5,71.5,263
425,412.3333333333333,117.10204476818024,86.70068158939341,62.21163965232643,425
615,463.0,134.1118935814419,98.55348458740553,57.655727364263136,615
-235,323.4,303.8773436766881,139.61825640526206,96.97735950278437,-235
-94,253.83333333333331,318.039000054326,169.3550470134394,110.7183685083456,-94
1138,380.1428571428571,427.11070113075857,206.17728331591354,136.53789655839628,1138
9,333.75,417.9553654398996,232.6495435814118,145.66309241522833,9
2404,563.7777777777778,760.643992910361,291.3155935068506,215.3923246680687,2404
1691,676.5,796.9178439462879,341.8758185507943,254.48279977588146,1691
618,671.1818181818181,760.0174421660955,417.87756276740384,254.52222784423148,618
-34,612.4166666666666,753.3111860682513,478.908681374229,254.46526509755552,-34
325,590.3076923076923,727.7989351055884,539.9783704079698,232.6527365700204,325
610,591.7142857142857,701.3429392011778,596.7014749699434,192.46006844900234,610
672,597.0666666666666,677.8575530465249,634.0994959069271,166.51216079164863,672
1440,649.75,687.3177485704847,671.027370758543,129.0597779644931,1440
1206,682.4705882352941,679.5199099058669,696.2682916360538,100.38426346487483,1206
739,685.6111111111111,660.5015887682877,720.5229139688927,43.253102333743286,739
1748,741.5263157894736,685.2578745046548,712.984302128322,42.159131825847055,1748
742,741.55,667.9067655743578,700.0831942911291,33.31168411907214,742
-249,694.3809523809523,685.0948822845098,692.5909383029705,26.772895657805293,-249
150,669.6363636363635,678.8805990515527,685.1478796013006,17.649116420898046,150
-253,629.5217391304346,690.1033866820384,681.3783247589456,10.854778588650777,-253
-515,581.8333333333333,713.2359162452647,682.5676224633543,13.34330617677417,-515
358,572.8799999999999,700.2007894882724,684.801946107529,14.21006685846173,358
263,560.9615384615383,689.1846063266598,684.9886318831466,14.254086901640115,263
425,555.9259259259258,676.7887643497553,684.7155173275354,14.381845938163151,425
615,558.0357142857141,664.6837852985249,685.1337369805591,13.71707622242648,615
-235,530.6896551724136,668.9607536268361,683.5040248927772,14.548443787783174,-235
-94,509.8666666666665,667.2075006239729,683.4340983977388,14.624723841199506,-94
1138,530.1290322580644,665.6745180610699,681.4920619753948,15.536263740914109,1138
9,513.8437499999999,661.4351871770486,679.7475207879444,16.669670539033596,9
2404,513.8437499999999,661.4351871770486,683.4848062924459,21.93146819856022,
1691,513.8437499999999,661.4351871770486,686.2866208910955,26.80214489802975,
618,516.9999999999999,651.581014288951,689.3257091302678,29.766629962885432,618
-34,500.7941176470587,648.6429172380169,693.2046294452671,31.943259250983505,-34
325,495.7714285714285,639.9799142256301,697.4579628997168,32.30394905362606,325
610,498.94444444444434,631.307855190074,701.9706704249701,30.512707705901708,610
672,503.6216216216215,623.3502486607978,705.1547000685273,28.496642385586796,672
1440,528.2631578947368,633.0929791283478,708.914786009614,25.572121177975813,1440
1206,545.6410256410255,634.038844040958,712.5795164066373,21.398078718285795,1206
739,550.4749999999999,626.7905945170205,715.8511971001352,14.817455747567594,739
1748,550.4749999999999,626.7905945170205,713.7755763756833,14.493875956985164,
742,555.1463414634145,619.8041610834597,709.5285249042465,11.790011386337145,742
-249,535.9999999999999,624.5322058873154,706.8264349792178,9.533464411812236,-249
150,527.0232558139534,619.9630704820189,703.9685124918268,6.597068889719663,150
-253,509.29545454545445,623.8050241551097,702.3643855318312,4.173981781017122,-253
-515,486.53333333333325,635.0451462516486,702.7773438991635,5.010698929216529,-515
358,483.7391304347825,628.3841747510074,703.4273603344535,5.132304463383752,358
263,479.0425531914893,622.4788454902246,703.1004646622154,5.138035663440282,263
425,477.9166666666666,616.0089228700795,703.0501161199408,5.147876484824165,425
615,480.7142857142856,609.9987286704717,703.6870288539117,4.337844896803217,615
-235,466.3999999999999,612.1245951601683,703.9474587207504,4.583348371285295,-235
-94,453.5399999999999,616.9891801320343,705.5807662626539,5.305451328792248,-94
1138,471.0399999999999,623.709065510515,706.3249519983106,5.4900371860106825,1138
-408,454.3799999999999,635.725786483449,708.2070703516929,5.9945217012929275,-408
295,447.9799999999999,635.6873284878344,709.3253718234349,6.014285395065035,295
849,469.6599999999999,630.4882745935882,709.0759525247545,5.867652209280482,849
-471,462.1199999999999,639.375621681027,705.9276273304381,11.610848875863859,-471
-522,428.9199999999999,646.4770016017583,702.7061641683513,16.01515656501988,-522
-296,422.8199999999999,651.8272989066965,700.2538073694943,17.747288934571245,-296
-20,374.33999999999986,589.8718711720367,697.9116331950498,19.0548180526154,-20
-1018,374.33999999999986,589.8718711720367,697.7110240046047,18.943846030994216,
-878,374.33999999999986,589.8718711720367,699.1595202634213,20.692425305475428,
-691,374.33999999999986,589.8718711720367,702.4427951473403,24.55665990300401,
203,344.57999999999987,559.4447636719821,703.4188085135789,25.345457765388765,203
169,335.59999999999985,558.586788243331,703.7347641244219,25.50039534486682,169
-110,334.07999999999987,559.6927671499783,704.3367424324645,25.745210421055543,-110
156,330.6999999999999,560.2474185571941,705.4705637405045,24.69241615668425,156
291,324.3199999999999,558.8450747747536,706.9201492778769,22.887425913465314,291
775,326.3799999999999,560.3108026800838,707.5555420200837,22.13188371254763,775
2,297.6199999999999,538.9086338146753,708.2976616955641,21.20312987736611,2
-397,265.5599999999999,531.5463539523151,706.2696948425433,22.14856715503008,-397
653,263.83999999999986,530.1488983295163,701.2756226861684,21.95412367021231,653
652,241.91999999999985,489.4242674817013,695.0347767787416,17.35437662738169,652
792,242.91999999999985,490.49492719089346,690.7213364731055,13.58113179404517,792
-144,245.01999999999984,488.60546415282744,687.7197093427939,10.199759872828947,-144
-1134,245.01999999999984,488.60546415282744,687.4456964614977,9.402611156830988,
-56,240.89999999999984,490.25504586898427,689.9950540062179,12.059267264505305,-56
82,247.59999999999982,485.7276603200603,692.740550656099,13.392608285355625,82
-931,247.59999999999982,485.7276603200603,696.3677929531291,15.225544902834306,
-988,247.59999999999982,485.7276603200603,701.8532085934743,19.30418263085435,
-580,246.2999999999998,487.84929025263517,700.9436468045801,20.17540196120782,-580
-317,232.7999999999998,493.8737490492888,697.4041735741745,25.89319140861202,-317
-482,217.8999999999998,503.8747959562969,693.8015234561552,30.03860865483581,-482
143,212.25999999999982,503.1027652478168,689.8376737671865,33.388011792813124,143
436,208.6799999999998,500.85604478732193,685.6953553254571,35.884088466833546,436
-447,204.4399999999998,505.4701637089966,678.8549962388287,36.21634495059159,-447
-977,204.4399999999998,505.4701637089966,673.2909577836234,34.84508181668275,
-521,195.8999999999998,513.9757679112896,665.2021578058661,34.475174407389346,-521
25,173.63999999999982,496.49639515307643,653.8643305348198,33.23652109129581,25
594,185.3399999999998,499.3632990118515,640.251005514113,21.08098902251896,594
-368,165.6199999999998,501.35280551723235,627.3851712878187,31.05315713666918,-368
83,167.9599999999998,500.6882447192063,616.7107465799136,40.365821840338285,83
174,164.9399999999998,500.1870614080294,605.9806143973391,45.273818644153785,174
-645,139.8399999999998,508.6409090900965,595.7681414563787,46.76809751970564,-645
-77,124.8599999999998,503.7535909549428,585.4055282383173,45.92199677732823,-77
-429,87.47999999999979,473.19527639231546,574.9053383394888,42.683018037131646,-429
-423,54.89999999999979,450.6022303540006,563.1729615791559,33.6768054625562,-423
-350,33.11999999999979,443.2685705077677,553.9674038886781,25.677061919900527,-350
163,21.539999999999793,432.0186204320363,546.7499039297245,19.214987713688224,163
-778,21.539999999999793,432.0186204320363,539.6179301259157,4.605245555077884,
-948,21.539999999999793,432.0186204320363,539.0540060237662,3.6287504364010337,
-465,17.219999999999793,435.76600555802867,539.828925833349,4.024648259513321,-465
-141,11.399999999999793,435.89700618380004,537.2797767606595,9.135066722039744,-141
299,22.43999999999979,436.05096766318485,534.58538482149,10.841602061486793,299
486,42.459999999999795,433.8900418308766,532.3587539289845,11.254243429885635,486
646,48.21999999999979,439.9105495438816,529.5320883005777,12.161624070386132,646
479,52.53999999999979,443.04790756756756,527.4950178998832,11.995214495876729,479
1343,52.53999999999979,443.04790756756756,529.3935244216646,14.746943425965592,
1067,52.53999999999979,443.04790756756756,534.0412401270354,21.403788533300325,
800,60.03999999999979,452.365558370661,540.2563775381993,27.91823148594474,800
507,57.8799999999998,449.96198239406834,544.2888574652654,30.87244401009073,507
-105,60.4799999999998,448.6357649586131,546.9439752476179,31.965145085441453,-105
257,67.4999999999998,448.90966797341304,552.2081415820113,30.16246161276615,257
317,51.0799999999998,423.7639361720154,557.2292651962949,27.828354762677943,317
-347,52.2999999999998,422.5265080441699,561.9719020855412,25.02970208290965,-347
-199,42.419999999999796,422.5115425642238,567.480577967091,18.990713260346087,-199
491,35.25999999999979,411.6768057590808,572.7635005138856,10.144923808513845,491
71,46.099999999999795,405.28983456287176,574.094472086776,8.81733289642244,71
-638,43.779999999999795,408.8515275744973,572.5708919643521,8.835557432704833,-638
-284,44.0199999999998,408.6554778783712,569.8170999817967,5.281296084813493,-284
840,44.0199999999998,408.6554778783712,569.2036211790904,3.7301577192983135,
490,54.2199999999998,413.2689821411715,569.4650851570948,3.987318274613985,490
-610,37.959999999999795,422.9750801170205,570.0993593751646,3.7661864036799453,-610
-891,37.959999999999795,422.9750801170205,570.4875705041843,3.553311164764381,
-584,22.899999999999793,431.36338509428447,571.1536563659301,3.595739121406904,-584
-1054,22.899999999999793,431.36338509428447,571.4992559112674,3.452768869758745,
-879,22.899999999999793,431.36338509428447,572.4788100628017,4.671264184233001,
159,28.27999999999979,431.34979030944237,573.671731075069,5.496330169659897,159
958,28.27999999999979,431.34979030944237,576.052207105671,6.544030003406564,
739,39.93999999999979,442.383200856452,577.941482365238,6.244043679501546,739
27,34.65999999999979,440.9282758000443,578.1943714404509,6.285697620954856,27
-303,13.099999999999792,430.43133017939095,578.7734613875028,6.178695131582088,-303
-960,13.099999999999792,430.43133017939095,580.7606865170238,6.72423053407825,
-993,13.099999999999792,430.43133017939095,584.3164118278868,9.170556612529474,
-2091,13.099999999999792,430.43133017939095,593.3669418265213,25.32637730592234,
-1228,13.099999999999792,430.43133017939095,604.3658474019433,35.37381707041674,
-561,1.839999999999792,437.874062259915,613.5351620485256,39.959084199836184,-561
-434,1.099999999999792,438.578168631317,622.5494713172703,42.06586505217036,-434
99,-9.980000000000208,428.8592538351014,630.916840702345,42.955078374646895,99
1452,-9.980000000000208,428.8592538351014,642.5004758334444,44.70918019599344,
188,-19.260000000000208,419.3491533316836,654.5923815839712,42.56933464625507,188
-161,-38.320000000000206,403.3972949834938,666.6637732356688,36.445119497417494,-161
-312,-41.680000000000206,404.96016791778413,677.5739277265224,27.54762467534667,-312
220,-36.16000000000021,406.605084080364,686.7537993492284,14.116475459547152,220
-257,-42.94000000000021,407.40384926998405,690.0662020248568,12.374975676334401,-257
455,-22.24000000000021,405.88129101992354,691.9378100435883,12.366140549232243,455
695,-22.24000000000021,405.88129101992354,695.2203903817438,11.389651331631827,
-1058,-22.24000000000021,405.88129101992354,699.8882078605286,10.750362681224685,
-691,-29.720000000000212,414.5971558030758,704.9782013236822,8.712826087214017,-691
-359,-27.26000000000021,412.2646145377989,706.6753514599442,9.446169539273797,-359
-224,-34.60000000000021,412.43496457017307,707.3065481448361,9.274101112069717,-224
-1561,-34.60000000000021,412.43496457017307,710.8475990684548,12.400965229112206,
-204,-47.400000000000205,407.5333115218925,714.4415068327096,14.007060883981897,-204
763,-47.400000000000205,407.5333115218925,719.0922932929782,15.29907469899944,
300,-32.46000000000021,406.30078562562477,723.4684873428382,14.895769260621815,300
-477,-31.580000000000208,405.28809950453746,727.1041786823592,13.1298614863988,-477
-128,-34.64000000000021,405.42692362496086,729.6670389905224,11.210893398995362,-128
-464,-55.80000000000021,399.6329315759649,728.0953076676414,13.426193517260021,-464
129,-45.86000000000021,397.9212489928125,724.0320502888412,19.032462650353903,129
-442,-56.36000000000021,401.29479239083065,719.2469792819018,24.97554151284356,-442
-1204,-56.36000000000021,401.29479239083065,716.2598019971646,27.81542742765001,
-968,-56.36000000000021,401.29479239083065,711.1738506029461,28.321757335639045,
-332,-66.48000000000022,401.7378866873273,705.7154826847952,28.171343222623506,-332
51,-52.560000000000215,393.4232916338328,699.157861546488,26.02565883397285,51
-276,-56.54000000000021,394.6550498853395,692.8205079674591,22.3315252437548,-276
-1029,-56.54000000000021,394.6550498853395,687.8494986385706,16.8895429975928,
-1016,-56.54000000000021,394.6550498853395,683.2338899665617,8.283917017974495,
-505,-58.060000000000215,396.22985298939784,681.3105290262772,4.831533704195808,-505
284,-43.920000000000215,395.56874699601815,681.7564046644954,5.191930174921171,284
-1024,-43.920000000000215,395.56874699601815,684.2542221341307,5.128455090599969,
-869,-43.920000000000215,395.56874699601815,684.4712629200124,4.887755792176204,
-301,-42.94000000000022,394.8693155969451,682.8674408701194,6.615430408867379,-301
294,-40.32000000000022,396.65760751560003,682.1351865645613,7.068296154778793,294
-125,-33.52000000000022,392.20832423598534,681.3456533062262,7.82860656263017,-125
-619,-43.080000000000226,400.4505882128278,680.5968017995323,8.41136732337511,-619
128,-46.50000000000023,398.2385842682748,678.466020332058,9.194842836072175,128
1031,-46.50000000000023,398.2385842682748,678.4672829253328,9.195868633081622,
506,-46.10000000000023,398.78291086755434,679.2164969057181,9.926990033496619,506
-428,-67.58000000000023,389.7477692046483,677.445220274292,9.814560994594475,-428
-479,-86.74000000000022,385.93594338957314,673.3481760612378,10.02873247249534,-479
780,-86.74000000000022,385.93594338957314,672.4013285458659,9.810631465666154,
686,-86.74000000000022,385.93594338957314,673.8877255058908,10.362071824582538,
501,-92.72000000000023,374.2905310049932,674.9878345629625,10.947644130288833,501
502,-92.82000000000022,374.130923073728,676.4200974959537,11.216126941380315,502
-883,-92.82000000000022,374.130923073728,673.1346481645126,16.098722944338743,
-192,-94.56000000000022,374.38574545513853,668.6334278772149,22.560628651835216,-192
1072,-94.56000000000022,374.38574545513853,664.2209410166068,23.053181017250242,
-10,-99.90000000000022,371.2240428636051,659.093916926252,22.000329788704715,-10
-645,-119.14000000000021,374.0370040517378,656.4644860592457,22.09875342573057,-645
499,-102.22000000000021,382.3884564157236,651.9713983183728,26.242365266616012,499
373,-90.78000000000021,387.83941470665377,646.1426916322062,27.915936851350168,373
-196,-104.52000000000021,379.05499548218563,638.9268195926043,26.400300855872604,-196
-491,-115.7600000000002,382.0046366210753,631.7217389982391,22.169482561430353,-491
228,-98.4400000000002,377.53978121517173,624.593480637227,13.78586905040266,228
-202,-96.8000000000002,376.90773406763594,622.1422263930034,13.346923943658012,-202
-376,-114.1200000000002,369.3667900610445,620.8611009313743,14.028206951810139,-376
