raw,rawZeroed,scaledZeroed,scaledZeroedAverage
277235,150437.0909090909,1366.052539843329,1366.052539843329
274022,147224.0909090909,1336.876711036795,1351.464625440062
266116,139318.0909090909,1265.0858294481063,1322.6716934427436
262180,135382.0909090909,1229.3447581183466,1299.3399596116442
263671,136873.0909090909,1242.8838682181108,1288.0487413329374
265382,138584.0909090909,1258.4207008007374,1283.1107345775708
267201,140403.0909090909,1274.9382335113148,1281.9432344252486
269291,142493.0909090909,1293.9165970985093,1283.439904759406
275988,149190.0909090909,1354.7290855881943,1291.3609248514938
275054,148256.0909090909,1346.2478455927685,1296.8496169256211
274310,147512.0909090909,1339.491911377997,1300.7261891485648
273896,147098.0909090909,1335.7325608875192,1303.6433867934775
274411,147613.0909090909,1340.4090476087656,1306.4715145484995
275928,149130.0909090909,1354.1842521837773,1309.8795672367337
276534,149736.0909090909,1359.6870695683897,1313.2000673921777
276257,149459.0909090909,1357.1717553513308,1315.948297889625
278731,151933.0909090909,1379.6370527267945,1319.694695232988
282859,156061.0909090909,1417.1215909506886,1325.107300550638
278860,152062.0909090909,1380.8084445462912,1328.0389397083036
277276,150478.0909090909,1366.4248426696806,1329.9582348563727
277407,150609.0909090909,1367.6143956026579,1331.7513853681007
277134,150336.0909090909,1365.1354036125601,1333.268840742849
276921,150123.0909090909,1363.2012450268796,1334.5702496247634
276143,149345.0909090909,1356.1365718829384,1335.4688463855205
277370,150572.0909090909,1367.2784150032674,1336.74122913023
280213,153415.0909090909,1393.094437815896,1338.908660233525
285317,158519.0909090909,1439.4415994183078,1342.632102425554
282172,155374.0909090909,1410.8832484701134,1345.0696433557166
277984,151186.0909090909,1372.853876841802,1346.0277203724786
278062,151264.0909090909,1373.5621602675442,1346.9455350356475
279152,152354.0909090909,1383.4599671144542,1348.1234199414152
279166,152368.0909090909,1383.5870949088182,1349.2316597841464
279253,152455.0909090909,1384.377103345223,1350.2966732253913
280311,153513.0909090909,1393.984332376444,1351.5816043768925
281049,154251.0909090909,1400.6857832507737,1352.984580916146
284295,157497.0909090909,1430.1612704297372,1355.1283778470793
283101,156303.0909090909,1419.3190856818376,1356.8632618426132
280640,153842.0909090909,1396.9718355439975,1357.9187506242288
279267,152469.0909090909,1384.5042311395869,1358.600429611802
