raw,rawZeroed,scaledZeroed,scaledZeroedAverage
262720,135922.0909090909,1234.2482587581003,1234.2482587581003
258976,132178.0909090909,1200.2506543224754,1217.2494565402878
251954,125156.09090909091,1136.486984892198,1190.3286326575912
246441,119643.09090909091,1086.4258755830099,1164.352943388946
245442,118644.09090909091,1077.3543993994656,1146.95323459105
246621,119823.09090909091,1088.060375796261,1137.1377581252518
249381,122583.09090909091,1113.122712399446,1133.7070373072795
252235,125437.09090909091,1139.0386213362178,1134.3734853108967
257585,130787.09090909091,1187.6195998967396,1140.2897202648794
257324,130526.09090909091,1185.2495745875253,1144.7857056971438
255672,128874.09090909091,1170.2484948525755,1147.100504711274
256607,129809.09090909091,1178.7388154047414,1149.7370306023963
256979,130181.09090909091,1182.1167825121272,1152.2277807492987
256772,129974.09090909091,1180.2371072668884,1154.2284469291264
255472,128674.09090909091,1168.4323835045186,1155.1753760341526
257064,130266.09090909091,1182.8886298350515,1156.9074543967088
259644,132846.0909090909,1206.3164662249853,1159.8138668571958
265165,138367.0909090909,1256.4502199880958,1165.1825531422458
265062,138264.0909090909,1255.5149226438464,1169.9368883791722
262647,135849.0909090909,1233.5853781160595,1173.1193128660163
263207,136409.0909090909,1238.670489890619,1176.2407974862356
264396,137598.0909090909,1249.467271854817,1179.5692735938985
265418,138620.0909090909,1258.7476008433878,1183.0118095612677
266639,139841.0909090909,1269.834960623275,1186.629440855518
266635,139837.0909090909,1269.798638396314,1189.9562087571496
267912,141114.0909090909,1281.3945093536572,1193.4730664724002
272658,145860.0909090909,1324.4908316430472,1198.3255762935353
271102,144304.0909090909,1310.3614853551644,1202.326858760022
270060,143262.0909090909,1300.8995452317881,1205.725916914221
269855,143057.0909090909,1299.0380311000297,1208.8363207204145
269612,142814.0909090909,1296.8314558121406,1211.674873465309
271013,144215.0909090909,1309.5533158052792,1214.733574788433
272704,145906.0909090909,1324.9085372531001,1218.072210014635
273730,146932.0909090909,1334.225188468632,1221.4884740868113
276886,150088.0909090909,1362.8834255409697,1225.5283298426443
282125,155327.0909090909,1410.45646230332,1230.6652224109966
280569,153771.0909090909,1396.3271160154372,1235.1425708867923
280149,153351.0909090909,1392.513282184518,1239.2839053946273
280058,153260.0909090909,1391.686951521152,1243.1916758081281
280645,153847.0909090909,1397.017238327699,1247.0373148711176
282154,155356.0909090909,1410.7197984487882,1251.0295705681342
282671,155873.0909090909,1415.4144462835152,1254.9434961804052
283036,156238.0909090909,1418.728849493719,1258.752457885366
286496,159698.0909090909,1450.1475758151032,1263.1023469292238
292169,165371.0909090909,1501.6615742027368,1268.4036630908574
289764,162966.0909090909,1479.8228352423528,1272.9997320506725
287654,160856.0909090909,1460.6628605203525,1276.992564571304
288031,161233.0909090909,1464.0862304114398,1280.8903492763066
288981,162183.0909090909,1472.71275931471,1284.805092338315
290587,163789.0909090909,1487.2961334396068,1288.8549131603406
291645,164847.0909090909,1496.903362470828,1294.1080152345953
292320,165522.0909090909,1503.0327382705198,1300.1636569135562
294469,167671.0909090909,1522.546854705391,1307.88485430982
297662,170864.0909090909,1551.5410723771192,1317.187158245702
295471,168673.0909090909,1531.645572559156,1326.272981708896
295116,168318.0909090909,1528.421974916355,1335.080213691298
296663,169865.0909090909,1542.4695961935752,1343.6671513671806
296959,170161.0909090909,1545.1574409886994,1351.7895277602302
297558,170760.0909090909,1550.5966944761296,1359.0490696518182
297222,170424.0909090909,1547.5456274113942,1366.2949907082957
295934,169136.0909090909,1535.8498703299078,1373.6070182178423
299510,172712.0909090909,1568.321941233165,1381.3986807344108
303412,176614.0909090909,1603.7542736337548,1389.831430556843
298559,171761.0909090909,1559.6863317731545,1397.4204150469684
296170,169372.0909090909,1537.9928817206148,1404.8116250112905
295413,168615.0909090909,1531.1189002682195,1411.7762304199537
295927,169129.0909090909,1535.7863064327257,1418.3656272241083
294796,167998.0909090909,1525.516196759464,1423.7469467595356
293695,166897.0909090909,1515.518503788411,1428.9470183824267
294858,168060.0909090909,1526.0791912773618,1434.7968946456524
298280,171482.0909090909,1557.152856442615,1441.1665419766925
301610,174812.0909090909,1587.3911103877622,1447.9250187473517
297188,170390.0909090909,1547.2368884822245,1453.6948045001286
294750,167952.0909090909,1525.098491149411,1458.800075110651
294963,168165.0909090909,1527.0326497350916,1463.9447553374266
293924,167126.0909090909,1517.597951281936,1468.668824175992
292660,165862.0909090909,1506.1201275622166,1472.3014100943753
292948,166150.0909090909,1508.7353279034185,1476.2688869453402
293030,166232.0909090909,1509.4799335561218,1480.4404947118271
295463,168665.0909090909,1531.5729281052338,1485.091192651931
297690,170892.0909090909,1551.7953279658473,1490.1904700950051
292403,165605.0909090909,1503.7864244799634,1494.0751322684987
289603,162805.0909090909,1478.360865607167,1497.1441788355799
287698,160900.0909090909,1461.0624050169251,1499.6809231665454
286424,159626.0909090909,1449.4937757298028,1501.4131301703223
285950,159152.0909090909,1445.1895918349078,1502.107792760954
285067,158269.0909090909,1437.1714602332368,1502.92467964531
284773,157975.0909090909,1434.5017765515931,1503.7644495326515
286654,159856.0909090909,1451.582303780068,1504.9623565778297
285255,158457.0909090909,1438.8786049004102,1505.7995839092841
281711,154913.0909090909,1406.6971118128422,1505.7191301765652
280205,153407.0909090909,1393.0217933619738,1505.2712771181343
279914,153116.0909090909,1390.379351350551,1504.704287155271
280196,153398.0909090909,1392.9400683513113,1503.560137005995
278816,152018.0909090909,1380.4089000497188,1501.1350835229348
277469,150671.0909090909,1368.1773901205556,1498.9021746204987
278117,151319.0909090909,1374.0615908882598,1497.1701492278569
282100,155302.0909090909,1410.2294483848127,1496.0930135873243
283789,156991.0909090909,1425.5665087191533,1495.150088575413
279941,153143.0909090909,1390.6245263825388,1493.2166564342717
278534,151736.0909090909,1377.8481830489584,1490.8355528458346
278906,152108.0909090909,1381.2261501563444,1488.3994210835508
278180,151382.0909090909,1374.6336659628978,1485.4411573087007
279116,152318.0909090909,1383.133067071804,1482.0729972025947
279828,153030.0909090909,1389.5984234708865,1479.2320542208292
279954,153156.0909090909,1390.7425736201624,1476.4784661949056
284254,157456.0909090909,1429.7889676033856,1474.2248536231018
286037,159239.0909090909,1445.9796002713126,1472.241296808754
282914,156116.0909090909,1417.6210215714043,1469.5817833506596
281723,154925.0909090909,1406.8060784937256,1466.7669923723063
281522,154724.0909090909,1404.9808865889283,1464.1496126974869
280627,153829.0909090909,1396.8537883063739,1460.7202496389511
281415,154617.0909090909,1404.009267017718,1456.7253495066304
282265,155467.0909090909,1411.7277402469597,1453.7661776761065
281955,155157.0909090909,1408.9127676574715,1451.1845753948437
287405,160607.0909090909,1458.4018018920217,1449.7302334273202
288922,162124.0909090909,1472.1770064670332,1448.4580474280065
