raw,rawFiltered,average,std,stdstd
1917,1917,1895.3250000000003,597.0327205229207,25.277118166693395,22
1187,1187,1878.048780487805,599.744049115731,16.299733734344475,23
1795,1795,1876.0714285714287,592.6964770821387,16.52626671658843,24
1968,1968,1878.2093023255816,585.9279485087728,16.640657946799514,25
911,911,1856.227272727273,596.8978465836498,13.510884330664608,26
2035,2035,1860.2000000000003,590.8163692910193,11.082418819588197,27
2900,2900,1882.8043478260872,603.7124142433473,8.645138599919877,28
1817,1817,1881.4042553191491,597.3308951324756,7.1431967698139935,29
1986,1986,1883.5833333333335,591.2647050085848,5.596814900635459,30
2227,2227,1890.591836734694,587.2112896640111,5.34679163370339,31
2504,2504,1902.8600000000001,587.6186181529648,5.599148252540548,32
2242,2242,1904.2400000000002,588.3320001495753,5.3304775364153905,33
1685,1685,1879.9400000000003,571.5545611750464,8.152423174022516,34
2017,2017,1883.9400000000003,571.7998744316055,9.804113656716435,35
-713,,1883.9400000000003,571.7998744316055,28.464894239328114,36
-743,,1883.9400000000003,571.7998744316055,57.62461967331627,37
-261,,1883.9400000000003,571.7998744316055,81.61066826076869,38
-463,-463,1834.9600000000003,659.1739363779486,104.4821136625133,39
-513,-513,1780.1600000000003,733.9561665385746,125.40599854061426,40
-127,-127,1727.5400000000004,773.4268474781568,139.90101467509106,41
106,106,1684.8200000000004,802.2833337418895,144.20315270842394,42
-444,-444,1642.2400000000005,855.8521965853685,143.54783171339685,43
-1206,-1206,1577.7800000000004,942.2146313871378,137.5345544587609,44
-278,-278,1572.1200000000003,952.4400377976559,116.7274318956957,45
152,152,1526.3200000000004,964.4922900676813,102.0333380939108,46
-1155,,1526.3200000000004,964.4922900676813,99.24771838409653,47
-1419,-1419,1473.9600000000005,1048.264870345277,100.34118651485493,48
-312,-312,1430.0600000000004,1075.8154192983109,100.73586158257498,49
344,344,1396.9200000000003,1083.2135678618508,99.56398146074791,50
5,5,1359.9600000000003,1098.4417319093445,96.18082653155851,51
-589,,1359.9600000000003,1098.4417319093445,85.5347385329632,52
-434,-434,1302.9800000000002,1115.9888796937003,71.85227853754168,53
653,653,1280.4600000000003,1117.5158202012178,63.62207728155659,54
960,960,1261.3200000000002,1114.6414210857233,52.61713256219636,55
958,958,1256.7400000000002,1115.4075992210203,33.62970741999174,56
7,7,1220.9800000000002,1126.1873110633064,20.588068145049167,57
-733,-733,1166.9600000000003,1153.5075545483005,16.792196089210456,58
-1209,,1166.9600000000003,1153.5075545483005,16.186038451953642,59
-696,-696,1134.8200000000002,1182.2219705283778,14.103950173417012,60
-372,-372,1086.68,1193.5388462886328,12.71386179359579,61
163,163,1031.94,1171.682387168127,12.838409463989608,62
-270,-270,990.2,1180.1152316617222,12.561399764555548,63
-818,-818,934.12,1197.9509111812556,11.343885287802557,64
-1833,,934.12,1197.9509111812556,13.168534572811321,65
-1606,,934.12,1197.9509111812556,19.31804773895615,66
-271,-271,884.16,1195.0756856366881,19.940687131271773,67
-40,-40,833.28,1179.0763001604266,19.251067452152174,68
-61,-61,787.22,1168.0771770735016,19.37588964034833,69
365,365,760.82,1162.3908755663906,23.075296899163714,70
-578,-578,708.9200000000001,1163.0769336548638,27.474562246046332,71
-201,-201,704.8000000000001,1165.9245258592,34.11253863540119,72
-41,-41,655.1400000000001,1143.5387883233348,39.894230978540364,73
-555,-555,620.0600000000001,1153.179715569087,46.53976191634218,74
-600,-600,570.4000000000001,1151.1854411866059,53.030589099896815,75
-697,-697,516.44,1146.0846244496959,51.2130255624939,76
17,17,479.72,1131.9993646641328,51.220431212101786,77
-953,-953,412.36,1114.9137860839287,61.1383355574849,78
-1539,,412.36,1114.9137860839287,66.41026754892697,79
-597,-597,364.84000000000003,1106.25343136191,76.43436666866977,80
-1086,-1086,304.78000000000003,1101.8639533082114,88.70229441893326,81
-665,-665,267.74,1102.7127606045012,108.98253660475847,82
-1147,-1147,208.9,1098.1314174542135,129.83691127705293,83
-1762,-1762,134.3,1102.7818143223074,143.13719632126066,84
-1181,-1181,92.46000000000001,1112.1655310249462,159.14092586738522,85
-1192,-1192,27.92,1090.9969173192012,158.01796226406108,86
-1615,-1615,-62.379999999999995,1034.9526731208534,146.23107597893514,87
-1345,-1345,-125.62,1014.5879141799395,133.63878843800634,88
-287,-287,-171.08,968.8467957319157,112.12568424255919,89
-411,-411,-223.84,906.6509661385688,85.78365260138175,90
-679,-679,-287.5,820.5391946762813,55.74545921410547,91
-1558,-1558,-363.5,756.1908290901182,32.74582746591566,92
-1796,,-363.5,756.1908290901182,22.820160851744603,93
-1150,-1150,-420.2,705.0207656516227,18.863287097102557,94
-755,-755,-475.64,614.3481345296007,16.717299712689595,95
-132,-132,-469.02,616.2291615949381,13.237575941131118,96
-207,-207,-462.9,617.2805925995084,11.763633957118016,97
-1052,-1052,-481.4,620.7876287427129,10.979046023927797,98
-1194,-1194,-507.4,622.8615255415928,10.059645929580048,99
-1897,,-507.4,622.8615255415928,9.160330390321423,100
-1753,,-507.4,622.8615255415928,8.049023367982423,101
-615,-615,-510.82,622.9734726294533,7.406212175637216,102
793,,-510.82,622.9734726294533,14.250989599264315,103
-838,-838,-503.46,616.8607690557086,14.711795126125434,104
-1846,,-503.46,616.8607690557086,15.09693343562346,105
-1321,-1321,-524.3199999999999,626.4446165464273,21.618658473246764,106
-1533,-1533,-558.02,634.4270640507074,26.25436185546488,107
-2012,,-558.02,634.4270640507074,27.171452282492318,108
-1904,,-558.02,634.4270640507074,27.272367017621836,109
-1370,-1370,-557.04,633.1328757851707,27.176656503053884,110
-1845,,-557.04,633.1328757851707,26.54672147812063,111
-1640,-1640,-583.5999999999999,649.9284268286781,25.68129497943557,112
-305,-305,-596.5799999999999,637.6378310608619,19.062639500913225,113
-443,-443,-605.54,632.2463826705538,16.003306843058574,114
-767,-767,-612.1999999999999,632.1582080460557,15.439031363759801,115
-825,-825,-641.7599999999999,606.3342827186999,13.001229691053426,116
-1390,-1390,-688.7599999999999,570.3655164892074,9.189437038499063,117
-1143,-1143,-730.7799999999999,522.9162950224446,11.553844322430566,118
4314,,-730.7799999999999,522.9162950224446,91.62666733877377,119
20675,20675,-317.41999999999985,3042.340698146741,744.3532696191148,1
41498,41498,527.2000000000002,6596.179715562638,1860.8245923884635,1
60924,60924,1759.6000000000004,10719.903064860242,3300.752225425837,1
91669,91669,3600.42,16526.06526804248,5261.547746667507,1
129321,129321,6183.58,24131.205631787234,7816.307876376403,1
147192,147192,9132.82,31152.071921263923,10459.44582982773,1
147085,147085,12090.88,36610.61552317306,12729.523650556539,1
141650,141650,14929.3,40803.621540863256,14389.326146836827,1
136030,136030,17650.7,44117.519250859965,15287.07365651595,1
132590,132590,20303.72,46874.98007553283,15324.171087051964,2
130417,130417,22904.760000000002,49244.75591920829,14646.408561124153,1
127481,127481,25465.940000000002,51246.28124709539,13376.905230110995,1
123747,123747,27944.9,52915.43818102615,11536.411924200322,1
118769,118769,30321.100000000002,54255.99876778603,9427.31735517085,1
118438,118438,32700.960000000003,55446.14286817795,7620.250291547975,1
119878,119878,35110.520000000004,56553.39447716291,6270.894146456233,1
118528,118528,37495.020000000004,57498.92639223449,5257.170360177163,1
117525,117525,39845.18000000001,58314.72540060187,4460.296099314079,1
117493,117493,42214.100000000006,59010.92496961898,3803.3944206591536,1
115650,115650,44539.04000000001,59565.8017849034,3248.405731720955,1
112213,112213,46805.02000000001,59940.908306928424,2775.3701760759322,1
109875,109875,49015.820000000014,60187.31796306927,2362.75836705432,1
110289,110289,51244.540000000015,60351.53628772345,1992.0659475254513,1
109412,109412,53468.02000000002,60405.622845721904,1629.5594988768191,1
107048,107048,55632.60000000002,60347.65813351833,1272.7122156556682,1
105245,105245,57761.34000000002,60182.683635614,941.8958897783866,1
105703,105703,59907.70000000002,59940.01675483584,647.0593183415384,1
106261,106261,62059.82000000002,59633.11740423773,416.8647734079701,1
105710,105710,64179.760000000024,59261.95061540247,353.8279236225454,2
104160,104160,66271.18000000002,58788.89197278344,491.2293207319052,3
102875,102875,68342.26000000002,58215.07285705655,710.0167300375925,1
103937,103937,70452.16000000002,57551.38411102205,949.2773131095591,1
103855,103855,72552.26000000002,56811.345707986904,1188.8496139250424,1
104966,104966,74666.68000000002,56005.286827741555,1418.0662555511856,1
104795,104795,76765.22000000002,55122.09852002734,1651.331063432874,1
106055,106055,78890.46000000002,54153.41606407116,1894.974247101657,1
107084,107084,81053.18000000002,53065.96545195047,2142.2161103140897,1
105677,105677,83190.60000000002,51848.45998638726,2397.479798532102,1
105217,105217,85307.24000000002,50527.40159737487,2669.2453307411306,1
105798,105798,87439.96000000002,49075.93295087115,2961.0582693709193,1
105697,105697,89580.32000000002,47465.379845289346,3277.2434636440908,1
105831,105831,91727.60000000002,45690.26617169132,3623.3473797558645,1
105091,105091,93856.82000000002,43741.22988334462,3999.0436119517817,1
106397,106397,96017.56000000003,41585.79882659946,4389.925411746022,1
106065,106065,98144.96000000002,39259.53569514546,4813.176139649874,1
107271,107271,100299.24000000002,36659.84445769513,5286.595656991938,1
106614,106614,102446.86000000002,33702.25141619474,5826.376350625476,1
105160,105160,104566.56000000001,30301.721133400988,6471.443450692811,1
106476,106476,106723.88000000002,26250.282686965485,7269.732083403691,1
108386,108386,108914.46000000002,21251.557054681893,8215.186736980642,1
107714,107714,110655.24000000002,17114.41317435102,9132.702820199325,1
106334,106334,111951.96000000002,13997.879873695148,9803.146538216508,1
106716,106716,112867.80000000002,11982.200530787308,10077.218620073336,1
105510,105510,113144.62000000002,11644.374703503818,9786.166161362902,1
105111,105111,112660.42000000003,11463.607120082215,9033.036249823022,1
105759,105759,111831.76000000002,10384.199652472005,7998.045821350988,1
106505,106505,111020.16000000002,9104.09669843196,6757.483163188264,1
106650,106650,110320.16000000002,8000.800003399645,5392.344367990557,1
105494,105494,109709.44000000002,7133.424193639389,4079.185919845591,1
105364,105364,109164.92000000001,6363.685657981528,3107.9338547934394,1
105597,105597,108668.52000000002,5609.961244928507,2618.3051940816003,1
105150,105150,108221.90000000002,4943.845399079529,2492.4745951843365,1
104435,104435,107835.66000000002,4445.071835684981,2514.31074593969,2
105308,105308,107566.44000000002,4174.111527786465,2400.7926051719637,3
105075,105075,107299.18000000002,3887.4295193096254,2100.5104226015915,1
104198,104198,106985.58000000002,3470.0973190387435,1792.0914349853133,1
104015,104015,106695.32000000002,3077.2166413172613,1547.076195019016,1
102716,102716,106399.14000000003,2711.5678196202102,1361.5642429272214,1
101628,101628,106081.84000000003,2290.3540543767285,1221.9426566197944,1
102299,102299,105814.82000000002,1905.1577015039811,1123.0707636481116,2
102557,102557,105621.70000000003,1727.9653381940102,1047.3853249351348,1
101822,101822,105460.64000000003,1699.0783002557441,976.7162774634629,2
101568,101568,105286.22000000003,1641.1082997779151,903.8087570414721,1
101571,101571,105129.40000000002,1613.7719541496463,794.1712311113057,2
102386,102386,105036.16000000002,1634.7692725274635,646.7968674014071,1
102815,102815,104987.56000000001,1663.702908093862,494.8658030319087,1
101894,101894,104911.38000000002,1715.5958602188266,342.6945279636824,1
100052,100052,104787.20000000003,1834.0366626651664,193.24458962998116,1
101818,101818,104709.36000000003,1875.3461521543124,99.32820231475532,2
102680,102680,104679.76000000002,1895.3567322274685,97.6394315789434,3
