raw,rawZeroed,scaledZeroed,scaledZeroedAverage
132511,5713.090909090912,51.87804616240325,51.87804616240325
131943,5145.090909090912,46.72028993392169,49.29916804816247
132572,5774.090909090912,52.43196012356061,50.34343207329518
132176,5378.090909090912,48.83605965440797,49.966588968573376
134279,7481.090909090912,67.93247047922615,53.55976527070404
135177,8379.090909090912,76.08681043200158,57.31427279758705
135900,9102.090909090912,82.65205295522723,60.93395567725001
137610,10812.090909090912,98.17980498111363,65.58968684023303
139320,12522.090909090912,113.70755700700002,70.93611685876276
140854,14056.090909090912,127.63713104659637,76.60621827754622
140746,13948.090909090912,126.65643091864564,81.15623760855526
143564,16766.09090909091,152.24543981276722,87.08033779223945
149375,22577.09090909091,205.0125550305601,96.15204681057169
153530,26732.09090909091,242.74226828644197,106.62277691599093
158047,31249.09090909091,283.75914308230676,118.43186799374531
160727,33929.09090909091,308.0950351462691,130.2858159407781
165554,38756.09090909091,351.9268825316221,143.32352574023955
173583,46785.09090909091,424.8346725993659,158.96303389907987
181612,54814.09090909091,497.7424626671097,176.7935301500289
187030,60232.09090909091,546.9409190859708,195.3008995968259
193287,66489.09090909091,603.7579626099306,214.7512359307832
200049,73251.09090909091,665.1606872877339,235.22439281064467
207040,80242.09090909091,728.6428594590625,256.67736962144556
213645,86847.09090909091,788.6199367286413,278.841643250912
217651,90853.09090909091,824.9966470302207,300.68784340208424
221130,94332.09090909091,856.5879039296703,322.0686149608376
224287,97489.09090909091,885.2552215587483,342.9273781681676
228569,101771.09090909091,924.1381655206462,363.68490628789885
236814,110016.09090909091,999.0073558442915,385.5925769622572
247449,120651.09090909091,1095.5790767772166,409.25879362275583
250864,124066.09090909091,1126.589178045288,432.3984834428374
255760,128962.09090909091,1171.0475838457205,455.4812678304275
262770,135972.0909090909,1234.7022865951144,479.09402597481204
270492,143694.0909090909,1304.822345743591,503.3801530268349
281675,154877.0909090909,1406.3702117701919,529.1798689909308
289984,163186.0909090909,1481.8205577252154,555.6421103446609
291426,164628.0909090909,1494.9147205447055,581.0278565662837
295745,168947.0909090909,1534.133645105994,606.1095878436446
301227,174429.0909090909,1583.9132571562334,631.1814768003777
308891,182093.0909090909,1653.5066440137732,656.7396059807127
317547,190749.0909090909,1732.1079431576754,682.968102009419
320631,193833.0909090909,1760.1123801447127,708.6143943459736
324331,197533.0909090909,1793.7104400837652,733.8491861073176
328764,201966.0909090909,1833.964548113446,758.8518079710931
332788,205990.0909090909,1870.5047084363507,783.55520575921
339681,212883.0909090909,1933.0969860471314,808.5452444611215
345626,218828.0909090909,1987.0808958681223,833.6204710868024
346287,219489.0909090909,1993.0831438734504,857.7759434365242
348220,221422.0909090909,2010.6358600524202,881.3036968368485
349225,222427.0909090909,2019.761819576406,904.0728592916396
352649,225851.0909090909,2050.85364585514,944.0523712854945
360331,233533.0909090909,2120.610482734005,985.5301751414962
363017,236219.0909090909,2145.000858138409,1027.381553101793
362034,235236.0909090909,2136.0746708627094,1069.1263253259592
363160,236362.0909090909,2146.2993777522697,1110.69366347142
365050,238252.0909090909,2163.4616299914073,1152.441159862608
369120,242322.0909090909,2200.419495924365,1194.7965087219907
373883,247085.0909090909,2243.67018767834,1237.7063163759356
371260,244462.0909090909,2219.8518873485737,1279.829202982767
371418,244620.0909090909,2221.2866153135387,1321.702192668106
370614,243816.0909090909,2213.98584769435,1363.4487810036198
370586,243788.0909090909,2213.731592105622,1404.678504049477
375040,248242.0909090909,2254.176391826849,1445.6617807854027
376161,249363.0909090909,2264.355695932708,1486.094049338328
371698,244900.0909090909,2223.829171200818,1524.8954499006984
369434,242636.0909090909,2203.2707907408144,1562.7989650125894
368856,242058.0909090909,2198.02222894493,1599.7208719408554
369185,242387.0909090909,2201.0097321124836,1635.2443731311175
370159,243361.0909090909,2209.8541943775203,1669.4866077653257
364372,237574.0909090909,2157.3050125214945,1701.6938896340364
359239,232441.0909090909,2110.6945147736146,1731.83262067731
354272,227474.0909090909,2065.5913894446217,1759.8412347204478
350169,223371.0909090909,2028.3338651392346,1785.8350548340516
352118,225320.0909090909,2046.031870226049,1810.983293504
353377,226579.0909090909,2057.464291162067,1835.632646386637
347993,221195.0909090909,2008.5745736723757,1858.6723797814911
345544,218746.0909090909,1986.336290215419,1880.6940011546246
343612,216814.0909090909,1968.7926545931894,1901.5870909360754
343575,216777.0909090909,1968.4566739937989,1920.9760772990653
345499,218701.0909090909,1985.9276651621062,1938.7830490667632
341426,214628.0909090909,1948.9425575589275,1955.2301166570358
336454,209656.0909090909,1903.7940294462335,1969.885045569046
334497,207699.0909090909,1886.0233799054968,1982.9114674352536
332001,205203.0909090909,1863.3583102817468,1994.0821867260165
333310,206512.0909090909,1875.244759054779,2003.4596776717085
337388,210590.0909090909,1912.275269441659,2012.0687719060375
331916,205118.0909090909,1862.5864629588225,2019.4222067543196
329497,202699.0909090909,1840.6205962040744,2025.5519457762812
327830,201032.0909090909,1825.4833081180204,2030.383346795517
327378,200580.0909090909,1821.3788964714117,2033.7407918446695
328803,202005.0909090909,1834.318689826317,2035.7850067780423
325681,198883.0909090909,1805.9691916831491,2036.7021430088112
320641,193843.0909090909,1760.2031857121156,2036.0319979213782
318080,191282.0909090909,1736.947879900247,2034.0916645571142
316646,189848.0909090909,1723.9263615346792,2031.1600976190805
316731,189933.0909090909,1724.6982088576033,2026.9921220752901
318750,191952.0909090909,1743.0318529162375,2022.1111412162522
316872,190074.0909090909,1725.9785673579834,2016.769049685943
312464,185666.0909090909,1685.9514732468097,2010.2753619498308
311053,184255.0909090909,1673.1388076862684,2003.342901712028
311679,184881.0909090909,1678.8232362056863,1995.9022935190387
313433,186635.0909090909,1694.7505327281453,1987.3850945189213
314659,187861.0909090909,1705.883295291734,1978.602743261988
311759,184961.0909090909,1679.549680744909,1969.472243459632
310218,183420.0909090909,1665.5565428081309,1959.857386760749
309213,182415.0909090909,1656.4305832841449,1949.716765826604
309462,182664.0909090909,1658.6916419124757,1938.8822087463664
314200,187402.0909090909,1701.7153197479433,1928.0431113877587
312592,185794.0909090909,1687.1137845095661,1917.3883493309786
308778,181980.0909090909,1652.4805411021212,1906.0122278467504
306789,179991.0909090909,1634.4193137456955,1894.4208971677772
305877,179079.0909090909,1626.137845998556,1882.669022245636
307872,181074.0909090909,1644.2535566954234,1870.4705655430075
309339,182541.0909090909,1657.5747334334208,1858.3349462930219
306876,180078.0909090909,1635.2093221821,1846.5625493126474
305846,179048.0909090909,1625.8563487396073,1835.0142604726232
305719,178921.0909090909,1624.703118033591,1823.5478782543964
306066,179268.0909090909,1627.8540712224697,1812.0847650365963
309961,183163.0909090909,1663.2228397258777,1801.1521379435633
310527,183729.0909090909,1668.3624348408787,1791.3732863899506
307598,180800.0909090909,1641.7654841485855,1781.99470577745
307085,180287.0909090909,1637.1071585408197,1773.425021159374
307649,180851.0909090909,1642.22859254234,1765.702915707436
309726,182928.0909090909,1661.0889088919107,1758.004056480753
