raw,rawZeroed,scaledZeroed,scaledZeroedAverage
267802,141004.0909090909,1280.395648112226,1280.395648112226
259459,132661.0909090909,1204.6365632280326,1242.5161056701293
249162,122364.09090909091,1111.1340704733238,1198.7220939378608
243427,116629.09090909091,1059.0570775677925,1163.8058398453438
245503,118705.09090909091,1077.908313360623,1146.6263345483997
249752,122954.09090909091,1116.4915989500917,1141.6038786153483
255258,128460.09090909091,1166.4891443620977,1145.1589165791697
253914,127116.09090909091,1154.2848761031555,1146.2996615196678
254195,127397.09090909091,1156.8365125471755,1147.4704227449465
254768,127970.09090909091,1162.0396715593583,1148.9273476263877
254577,127779.09090909091,1160.3052852219641,1149.961705589622
257452,130654.09090909091,1186.4118858502818,1152.9992206113434
260094,133296.0909090909,1210.4027167581132,1157.4148741610952
259056,132258.0909090909,1200.977098861698,1160.5264616397096
258552,131754.0909090909,1196.4004982645947,1162.9180640813686
257868,131070.09090909091,1190.1893974542402,1164.622522417173
259703,132905.0909090909,1206.8522190726621,1167.1066222204372
263145,136347.0909090909,1238.1074953727211,1171.0511151733417
263608,136810.0909090909,1242.3117931434729,1174.8016771717696
262463,135665.0909090909,1231.9145556758472,1177.6573210969736
263494,136696.0909090909,1241.2766096750804,1180.6868110292644
263917,137119.0909090909,1245.1176851762207,1183.6154871268534
265967,139169.0909090909,1263.732826493804,1187.0988497080252
268118,141320.0909090909,1283.2651040421556,1191.1057769719473
267603,140805.0909090909,1278.5886173209092,1194.605090585906
266029,139231.0909090909,1264.2958210117015,1197.2855032945904
266217,139419.0909090909,1266.002965678875,1199.8305944940082
268115,141317.0909090909,1283.2378623719349,1202.8094254896487
271649,144851.0909090909,1315.3285498921,1206.6893952966298
271995,145197.0909090909,1318.4704225242385,1210.41542953755
271453,144655.0909090909,1313.5487607710043,1213.7423111902422
273024,146226.0909090909,1327.8143154099912,1217.3070613221093
274102,147304.0909090909,1337.6031555760178,1220.9523975116215
276129,149331.0909090909,1356.0094440885744,1224.9246635874144
280920,154122.0909090909,1399.514391431277,1229.9129415258108
280834,154036.0909090909,1398.7334635516127,1234.6024004709718
281275,154477.0909090909,1402.737989074078,1239.1466055683532
281630,154832.0909090909,1405.961586716879,1243.5364734933146
284838,158040.0909090909,1435.0920127397117,1248.448153986812
288506,161708.0909090909,1468.399494863075,1253.9469375087185
291779,164981.0909090909,1498.1201570740259,1259.90238188836
291020,164222.0909090909,1491.22801450815,1265.410135045974
291343,164545.0909090909,1494.161034335262,1270.7299234015386
291555,164757.0909090909,1496.086112364202,1275.851654968872
293837,167039.0909090909,1516.8079428455312,1281.206239143909
298556,171758.0909090909,1559.6590901029335,1287.2595619908445
296971,170173.0909090909,1545.2664076695828,1292.7490693457114
295703,168905.0909090909,1533.7522617229022,1297.769969186903
296927,170129.0909090909,1544.8668631730102,1302.8127629417215
297156,170358.0909090909,1546.9463106665353,1307.6954338962178
297881,171083.0909090909,1553.5297143032417,1313.158115220038
300695,173897.0909090909,1579.082400970402,1320.6470319748853
299288,172490.0909090909,1566.3060576368218,1329.7504717181555
296965,170167.0909090909,1545.211924329141,1339.4735686533825
294686,167888.0909090909,1524.5173355180327,1348.4057490965304
294059,167261.0909090909,1518.8238264418744,1356.4523936463663
296103,169305.0909090909,1537.384484419016,1363.8703004475049
293433,166635.0909090909,1513.1393979224563,1371.0473908838908
289609,162811.0909090909,1478.4153489476087,1377.4789676118999
286612,159814.0909090909,1451.2009203969762,1383.2621925886522
284677,157879.0909090909,1433.6300431045258,1388.7286877463034
282927,156129.0909090909,1417.7390688090281,1393.3552314054784
282035,155237.0909090909,1409.6392121966944,1397.33996131425
277990,151192.0909090909,1372.9083601822438,1400.7785865406609
273752,146954.0909090909,1334.4249607169183,1403.5390757897073
269027,142229.0909090909,1291.5193301190743,1405.565674443004
265444,138646.0909090909,1258.983695318635,1406.6083039679236
265409,138611.0909090909,1258.665875832725,1407.0194715771238
264136,137338.0909090909,1247.1063271023431,1407.1153622563013
259645,132847.0909090909,1206.3255467817257,1406.6035820784189
258513,131715.0909090909,1196.0463565517236,1405.6989770159519
257333,130535.09090909091,1185.331299598188,1404.5032493043911
256930,130132.09090909091,1181.6718352318533,1402.8620294791524
259795,132997.0909090909,1207.6876302927683,1401.3504800041644
258499,131701.0909090909,1195.9192287573596,1399.6970922328933
256352,129554.09090909091,1176.423273435969,1397.9396412813787
254984,128186.09090909091,1164.0010718152598,1395.8996034041068
255957,129159.09090909091,1172.8364535235567,1393.6915752271393
258134,131336.0909090909,1192.6048255471558,1391.2371007402405
259456,132658.0909090909,1204.6093215578119,1388.9598787209118
256562,129764.09090909091,1178.3301903514287,1386.2555073125202
256011,129213.09090909091,1173.326803587532,1383.165757076071
254929,128131.09090909091,1163.5016411945442,1379.6837267884414
