raw,rawFiltered,average,std,stdstd
17415,17415,17415.0,0.0,0.0,2
18141,18141,17778.0,363.0,181.5,1
26483,26483,20679.666666666668,4114.26602067597,1859.8372284443187,1
54888,54888,29231.75,15235.149381857074,6164.8986270230625,1
73168,73168,38019.0,22238.499760550396,8851.48287658451,1
72238,72238,43722.166666666664,23974.07509106915,9950.922531048667,1
87665,87665,49999.71428571428,27001.73812243673,10783.217625127765,1
121193,121193,58898.875,34530.02402054443,12294.50757801836,1
146804,146804,68666.11111111111,42696.99620047305,14321.715313560728,1
150703,150703,76869.8,47396.5688479662,16051.624404330207,1
145164,145164,83078.36363636363,49271.45241373221,16179.155905415226,1
135896,135896,87479.83333333333,49380.88676946668,14832.086449327899,1
126983,126983,90518.53846153845,48597.34516271341,12397.193775126629,1
118455,118455,92514.0,47379.037851293324,10629.25144631458,1
109357,109357,93636.86666666667,45964.913715958995,9106.991239733612,1
100937,100937,94093.125,44540.403423289456,6958.837793144093,1
95838,95838,94195.76470588235,43212.48872385554,4244.54094290592,1
93477,93477,94155.83333333333,41995.313237511,2637.449766447938,1
92025,92025,94043.6842105263,40878.005596952586,2910.5657972199288,1
93010,93010,93991.99999999999,39843.588297240494,3359.6152248314,1
91477,91477,93872.23809523808,38887.04925306081,3513.090530493089,1
89788,89788,93686.5909090909,38002.49834210556,3450.1104357119225,2
89094,89094,93486.91304347826,37178.97501792838,3270.346456302891,1
87889,87889,93253.66666666666,36413.35787142161,3042.3527977755352,1
84294,84294,92895.27999999998,35720.83300094778,2810.1047922404173,1
88538,88538,92727.6923076923,35037.17993324457,2600.494425299208,1
108749,108749,93321.07407407406,34515.09544567627,2398.05325840951,1
108543,108543,93864.71428571428,34010.66573555287,2205.518541585659,1
93948,93948,93867.58620689654,33419.13422754142,2039.3670881217367,1
97400,97400,93985.33333333331,32863.54589240519,1897.6273481337455,1
113602,113602,94618.12903225805,32514.4036208887,1752.901894561552,1
113780,113780,95216.93749999999,32175.53551218835,1609.8433078957164,1
108869,108869,95630.63636363635,31770.585645080657,1483.8590040355089,1
106824,106824,95959.85294117646,31356.96753995678,1380.062983721758,2
105943,105943,96245.0857142857,30950.483844241484,1296.0023477570842,1
101994,101994,96404.77777777777,30532.208729390375,1243.2817545975483,2
98797,98797,96469.43243243243,30119.283476941375,1197.8613486013057,3
95814,95814,96452.1842105263,29720.52014035816,1158.2323235904678,1
92072,92072,96339.87179487178,29345.181811460396,1142.7976174303876,2
88994,88994,96156.22499999999,28998.733124472437,1146.340224929201,3
85551,85551,95897.56097560975,28689.587012175845,1131.2782669471887,4
84894,84894,95635.57142857142,28395.583181144193,1094.3735439627415,5
84554,84554,95377.86046511628,28113.114310933248,1047.6534036500857,6
83932,83932,95117.72727272726,27844.111386891484,994.6710390198788,1
84666,84666,94885.46666666666,27576.064819251416,938.4225350380849,2
85751,85751,94686.89130434782,27307.187854696127,886.2798330057902,3
91227,91227,94613.27659574468,27019.73728607666,845.6362346605331,1
101932,101932,94765.75,26757.226182457085,814.9226556887804,2
97920,97920,94830.12244897959,26486.54089836037,795.7041967178699,3
90868,90868,94750.87999999999,26226.20446625093,784.366598764737,4
87642,87642,96155.41999999998,23816.696346966346,1239.3398208183291,1
90816,90816,97608.91999999998,21070.537634184853,2062.391422992223,1
93738,93738,98954.01999999999,18473.76552572865,2994.9412653659733,1
91686,91686,99689.98,17405.705257173588,3657.4203475579375,1
88690,88690,100000.42,17064.990045224178,4031.4157390628566,1
85791,85791,100271.48,16726.13298911617,4190.265381289551,1
83117,83117,100180.51999999999,16806.61500628845,4111.759504152922,2
82342,82342,99403.49999999999,16715.032679896267,3819.3226999081626,1
81059,81059,98088.59999999999,15474.418279211666,3374.849005724519,1
81222,81222,96698.98,13705.8644200065,2710.7076233152766,1
82126,82126,95438.22,11980.462235306286,2353.3755368050934,1
82079,82079,94361.88,10639.816892484574,2425.6800016917127,2
83887,83887,93499.96,9663.048703095732,2762.071669781767,1
85785,85785,92846.56000000001,9037.859835514164,3043.9853968017082,1
86367,86367,92386.76000000001,8766.943352297887,3164.4260943025147,1
87760,87760,92123.22000000002,8703.78357334327,3122.4553328248485,2
91342,91342,92033.30000000002,8688.151539309161,2849.5028642070506,1
91509,91509,91993.94000000002,8685.979528895987,2299.2044711155104,1
91407,91407,91981.58000000002,8686.366230110272,1651.3708292990975,1
99117,99117,92103.72000000002,8742.721059349893,1059.396050599836,1
102394,102394,92322.06000000001,8859.878151329178,602.4663763782842,1
98018,98018,92486.66000000002,8887.676476132563,285.0561568138085,1
101320,101320,92731.18000000002,8958.870363366137,120.46203422612689,1
109971,109971,93172.82000000002,9248.870527129251,168.75916711894845,2
105891,105891,93604.76000000002,9328.097717241179,224.8051833221208,3
101162,101162,93857.24000000002,9358.336244354552,257.2042947025665,1
100120,100120,93684.66000000002,9159.575663992306,248.97075083291136,2
99098,99098,93495.76000000002,8946.106571151502,228.41719903117703,3
95264,95264,93522.08000000003,8949.333666458084,202.42213774329917,4
95045,95045,93474.98000000003,8934.986015635397,180.88289106782008,5
99868,99868,93200.30000000003,8513.166356297761,240.0716362685051,6
97644,97644,92877.58000000003,8018.372750352787,387.46667111155534,1
92125,92125,92542.70000000003,7686.284811923128,539.8891048344501,1
93411,93411,92274.44000000003,7412.353140966785,659.8616646980396,2
101197,101197,92179.52000000003,7265.646576155501,728.3990190302197,1
101065,101065,92160.94000000003,7241.673128248759,733.7778596583086,2
100197,100197,92188.94000000003,7269.928820586909,708.495264197544,3
113238,113238,92537.42000000003,7831.274741930598,638.8860557072778,4
115168,115168,92999.34000000003,8447.131152314383,571.5890771383442,1
109041,109041,93400.28000000003,8718.894079044663,533.4299356312406,2
128212,128212,94253.50000000003,9914.43506459143,806.096960773677,1
133892,133892,95233.46000000004,11269.778608668406,1275.0698790194504,1
125774,125774,96057.86000000003,11945.783728177903,1652.5704937786686,1
136516,136516,97109.54000000002,13091.684776544227,2033.5515085665802,1
139237,139237,98200.96000000002,14233.714787025903,2381.304698025685,1
123779,123779,98961.52000000002,14560.387276772546,2541.471723240432,1
