raw,rawFiltered,average,std,stdstd
23504,23504,23504.0,0.0,0.0,2
22823,22823,23163.5,340.5,170.25,1
26188,26188,24171.666666666668,1452.6161074267195,620.289900141101,1
49499,49499,30503.5,11038.972336680621,4553.002322539691,1
113762,113762,47155.2,34736.19984626988,13252.47232511932,1
169752,169752,67588.0,55614.74231112946,21012.820631952472,1
167932,167932,81922.85714285714,62322.317494110684,25055.976174031424,1
156909,156909,91296.125,63352.73792709653,26866.163209038405,1
168240,168240,99845.44444444444,64438.68520300021,27719.953161736554,1
181663,181663,108027.2,65875.48748479968,28129.666912665587,1
160892,160892,112833.09090909091,64622.27531158494,26512.469723965467,1
146172,146172,115611.33333333334,62553.49871554392,22982.13064290409,1
145816,145816,117934.76923076923,60636.004600153385,16892.058423296374,1
152683,152683,120416.78571428571,59111.649540966806,8676.917167997619,1
146417,146417,122150.13333333333,57474.37880988556,3161.333614249444,1
147043,147043,123705.9375,55974.597854148036,3094.3345711751726,2
165087,165087,126140.11764705883,55169.33987160361,3632.9265487876282,1
157299,157299,127871.16666666667,54087.93840101712,4051.8241804408235,1
153211,153211,129204.84210526316,52948.53682612675,4252.794686162053,1
186141,186141,132051.65,53078.73550705122,3851.213845183988,1
223044,223044,136384.61904761905,55305.379047332826,3081.423986710143,1
203771,203771,139447.63636363638,55827.21015821574,2367.2339658895585,1
184784,184784,141418.78260869568,55377.33170433432,1782.1775665112264,1
172844,172844,142728.1666666667,54573.8492562041,1301.1864158313685,1
160757,160757,143449.32,53587.818698446754,1055.9362940793987,1
148222,148222,143632.88461538462,52555.194503073784,1105.6728945978418,2
146661,146661,143745.03703703705,51575.93828627589,1313.2950070729107,1
157212,157212,144226.0,50708.188988564754,1618.7041188690723,1
149156,149156,144396.0,49834.35972056449,1967.237321379847,1
148055,148055,144517.96666666667,49001.149938536015,2345.186073304096,1
160589,160589,145036.3870967742,48287.88915798687,2542.496431108648,1
154457,154457,145330.78125000003,47555.65883568324,2551.5508794708708,2
