raw,average,std,stdAvg,stdstd
-423.0,-423.0,0.0,0.0,0.0
121.0,-151.0,272.0,136.0,136.0
1135.0,277.6666666666667,645.6259667089676,305.8753222363225,264.6618916210936
1111.0,486.0,665.456985837552,395.7707381366299,277.0884246175024
932.0,575.2,621.363790383701,440.88934858604415,263.75206554859705
576.0,575.3333333333334,567.2250190376145,461.94529366130587,245.33186540416713
-560.0,413.14285714285717,658.4946964905051,490.0237797797629,237.3181117553021
-44.0,356.0,634.2479798942996,508.05180479408,227.05719146865223
277.0,347.22222222222223,598.4899103907318,518.100483193708,215.9501004827932
822.0,394.7,585.3703186872392,524.8274667430611,205.85983599948545
1013.0,450.9090909090909,585.7493187898813,583.4023986220492,108.50810870158286
477.0,453.0833333333333,560.8586361305514,612.2882622351043,35.96238692430246
558.0,461.15384615384613,539.5802993144616,601.6836954956538,39.979256756599035
-10.0,427.5,533.923449569318,588.5303418688303,38.441801412971614
480.0,431.0,515.985271107616,577.9924899412218,42.251638638794084
383.0,428.0,499.735680135009,571.2435560509613,48.37842333258396
-679.0,362.88235294117646,550.3547393275959,560.4295603346703,38.805765762382265
-980.0,288.27777777777777,616.9946700252007,558.7042293477605,35.74850970589563
1111.0,331.57894736842104,628.0098319536653,561.6562215040539,39.890829800258004
687.0,349.34999999999997,616.9902166971532,564.8182113050452,42.79286604719549
51.0,335.1428571428571,605.4637172656757,566.7896511526246,44.14450587429857
344.0,335.5454545454545,591.5460273548787,569.8583902750573,44.68881696165137
465.0,341.1739130434782,579.1454463389338,573.8149049775045,43.57046034474326
593.0,351.66666666666663,569.1803805082845,577.3405980714011,41.580879777942904
678.0,364.71999999999997,561.3350172579651,581.875572686436,36.845268561688826
1141.0,427.28,557.1961607907937,587.6216207520146,26.66023048149652
1474.0,481.4,589.5856171922785,591.5447085384828,23.598325250698377
603.0,460.12,575.0322648338961,587.3484680193524,22.400190755561187
801.0,447.72,564.1015171048558,580.9576365344715,18.6984822859937
1725.0,479.44000000000005,610.8036070620409,580.3389755709602,17.563997573647452
1925.0,533.4000000000001,673.3365874508825,587.1262625894809,32.621420304909506
27.0,556.8800000000001,644.4125585368429,592.4129157076774,36.91106744319588
-377.0,543.5600000000001,659.94933623726,600.49330469751,41.661114351622366
378.0,547.6,658.6129667718363,609.4365633238651,43.536262632390134
1153.0,560.84,667.2662844771943,620.029690045788,43.43090629636829
1054.0,562.48,668.4249618319172,631.1525701499004,40.024119642722596
953.0,581.52,672.485962381372,639.4426046688097,39.13143562876549
692.0,586.88,672.8110771977524,649.2204859051953,33.6472673633674
1307.0,639.56,675.5677955616297,660.3671137508727,18.782584389316206
762.0,650.8399999999999,675.1636056542147,666.8031136100901,9.359641012833645
-553.0,613.3999999999999,713.8233955258121,670.851794417583,16.97153872542856
-1175.0,593.5599999999998,755.16441017834,681.9269795817328,28.39598208435272
-1487.0,573.2799999999999,802.4758947158475,696.1796354295915,44.81178431083607
-159.0,522.4799999999999,807.0133639537823,711.0196751477861,53.62047475299476
811.0,527.4399999999999,808.3891676661681,725.1319634666835,58.58877468382696
750.0,555.4,803.5003422525718,738.6395015087489,59.521280319787365
1688.0,609.16,832.0134460451947,754.5922498751312,61.01256352905833
1671.0,657.4,856.8478044553771,772.9959226008937,61.32407000838289
1246.0,683.52,864.4061600891099,791.8797590536417,57.36202089489373
678.0,683.52,864.4061600891099,810.8040144971312,45.78226551117455
207.0,646.16,864.010170310512,825.8226919756012,34.828445531937504
-371.0,572.36,868.9297729966443,837.1992282574316,27.75171715697414
-1148.0,502.32,931.9234612348805,850.1439849093349,37.138768456644996
-734.0,440.92,960.3553892179706,865.4781874357537,46.61309550890244
888.0,407.44,929.0868239298196,877.547953062119,45.88890581049935
335.0,343.84,875.9267859815682,884.7905974350185,38.79811503904123
14.0,343.32,876.1185636659001,889.2011091970891,34.854250281223216
533.0,379.71999999999997,864.2589204630749,889.9422207978589,34.23166898318957
-285.0,353.2,874.0218303909804,890.903787828046,33.63063177580481
251.0,317.12,858.7450061572408,890.3376724348591,34.11605491960196
250.0,284.96000000000004,845.4994017738862,888.4865955811965,35.947350841683
395.0,262.64000000000004,834.867840080093,885.0804022895414,39.11342535477145
1058.0,277.28000000000003,845.4110725558304,876.4291634216364,37.3223051813559
780.0,256.20000000000005,825.8157663789179,862.9752011377311,27.636132531383254
-432.0,208.44000000000005,829.6999978305408,853.0365185278032,18.4018384397984
548.0,252.48000000000005,817.2410718998401,847.1679471196304,19.491600578471356
1846.0,373.32000000000005,820.5759791756029,841.6136886706007,18.32954342761301
948.0,470.72,733.918824939107,828.5796791182039,35.70188331690348
-174.0,470.12,734.4393409942033,814.6214301785262,41.94678979245137
537.0,459.16,731.3083989672208,801.8777694595242,45.78809241077556
-394.0,413.40000000000003,747.2949618457224,792.0573254667078,45.910259142432096
-851.0,311.84000000000003,739.6616891525475,782.5367103739533,45.916947166718
205.0,253.20000000000005,685.7293343586811,766.5685365542383,48.94110465746546
461.0,221.80000000000004,656.916981056206,749.6786580219672,54.417705449440604
-324.0,181.72000000000003,658.4259120052914,732.5512494394422,53.48180461345523
